
=== Top 50 Cumulative Time Entries ===
         175810 function calls (170411 primitive calls) in 0.317 seconds

   Ordered by: cumulative time
   List reduced from 2757 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       25    0.001    0.000    0.001    0.000 {built-in method _io.open_code}
4846/4654    0.001    0.000    0.001    0.000 {built-in method builtins.len}
  353/295    0.001    0.000    0.004    0.000 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/sqlalchemy/util/langhelpers.py:1303(__getattr__)
      114    0.001    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/inspect.py:3123(_bind)
      106    0.001    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/json/decoder.py:343(raw_decode)
     2499    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
  476/378    0.001    0.000    0.008    0.000 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/sqlalchemy/util/langhelpers.py:1254(__get__)
      476    0.001    0.000    0.002    0.000 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/sqlalchemy/orm/instrumentation.py:502(new_instance)
    74/15    0.001    0.000    0.003    0.000 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/sqlalchemy/sql/cache_key.py:221(_gen_cache_key)
      678    0.001    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/inspect.py:1796(_check_class)
      308    0.001    0.000    0.002    0.000 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/prompt_toolkit/styles/style.py:109(_parse_style_str)
   145/18    0.001    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/re/_compiler.py:37(_compile)
      622    0.001    0.000    0.002    0.000 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/prompt_toolkit/key_binding/key_bindings.py:108(__init__)
      137    0.001    0.000    0.002    0.000 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/sqlalchemy/sql/coercions.py:313(expect)
     2708    0.001    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}



=== Elroy Code Paths ===
         175810 function calls (170411 primitive calls) in 0.317 seconds

   Ordered by: cumulative time
   List reduced from 2757 to 1793 due to restriction <'elroy'>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.317    0.317 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/typer/main.py:319(__call__)
        1    0.000    0.000    0.312    0.312 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/click/core.py:1159(__call__)
        1    0.000    0.000    0.312    0.312 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/typer/core.py:734(main)
        1    0.000    0.000    0.312    0.312 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/typer/core.py:166(_main)
        1    0.000    0.000    0.310    0.310 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/click/core.py:1663(invoke)
        1    0.000    0.000    0.310    0.310 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/click/core.py:1432(invoke)
        1    0.000    0.000    0.310    0.310 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/click/core.py:737(invoke)
        1    0.000    0.000    0.310    0.310 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/typer/main.py:689(wrapper)
        1    0.000    0.000    0.310    0.310 /Users/tombedor/development/elroy/elroy/cli/main.py:58(common)
        1    0.000    0.000    0.288    0.288 /Users/tombedor/development/elroy/elroy/cli/main.py:322(chat)
       13    0.000    0.000    0.104    0.008 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/sqlmodel/orm/session.py:52(exec)
       13    0.000    0.000    0.103    0.008 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/sqlalchemy/orm/session.py:2305(execute)
       13    0.000    0.000    0.103    0.008 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/sqlalchemy/orm/session.py:2138(_execute_internal)
        1    0.000    0.000    0.101    0.101 /Users/tombedor/development/elroy/elroy/cli/updater.py:12(check_updates)
        1    0.000    0.000    0.101    0.101 /Users/tombedor/development/elroy/elroy/cli/updater.py:31(check_latest_version)
        1    0.000    0.000    0.100    0.100 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/requests/api.py:62(get)
        1    0.000    0.000    0.100    0.100 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/requests/api.py:14(request)
        1    0.000    0.000    0.100    0.100 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/requests/sessions.py:500(request)
        1    0.000    0.000    0.098    0.098 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/requests/sessions.py:673(send)
        1    0.000    0.000    0.096    0.096 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/requests/adapters.py:613(send)
        1    0.000    0.000    0.096    0.096 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/urllib3/connectionpool.py:592(urlopen)
        1    0.000    0.000    0.096    0.096 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/urllib3/connectionpool.py:377(_make_request)
        2    0.000    0.000    0.094    0.047 /Users/tombedor/development/elroy/elroy/config/ctx.py:168(dbsession)
        2    0.000    0.000    0.094    0.047 /Users/tombedor/development/elroy/elroy/db/db_manager.py:61(open_session)
        1    0.000    0.000    0.070    0.070 /Users/tombedor/development/elroy/elroy/db/postgres/postgres_manager.py:107(_migrate_if_needed)
        1    0.000    0.000    0.064    0.064 /Users/tombedor/development/elroy/elroy/cli/chat.py:95(handle_chat)
